population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
USA Arizona Pima,A,6,5,0.536,0.9888059701492538,0.9563517461553114
Mexico Oaxaca Mixe,A,6,6,0.9430000000000002,1.0,0.9582021429982494
Pakistan Kalash,A,78,31,0.866,0.9711316397228639,0.958448973615344
Mexico Oaxaca Zapotec,A,11,11,0.819,1.0,0.9595824308223841
Mexico Oaxaca Mixtec,A,11,11,0.794,1.0,0.9603617866987824
Singapore Chinese Han,A,12,12,0.7160000000000001,1.0,0.960947039720268
Brazil Terena,A,6,3,0.5670000000000001,0.5291005291005291,0.9613497648856251
Singapore Chinese,A,80,31,0.8230000000000001,0.9732685297691372,0.9618848005299062
Hong Kong Chinese,A,80,31,0.829,0.9831121833534378,0.9619900620946519
Singapore Thai,A,17,13,0.867,0.9238754325259516,0.9625045486215417
Israel Bukhara Jews,A,79,24,0.9997380000000002,0.7145592145142026,0.9626139072264109
China Guangxi Region Maonan,A,9,8,1.0,0.9949999999999999,0.9626228136297836
China South Han,A,17,14,0.78,0.9794871794871794,0.9627626832962682
Japan Hokkaido Ainu,A,10,8,0.8500000000000001,0.9764705882352941,0.9627627380046162
India West Coast Parsi,A,33,17,0.8500000000000001,0.5529411764705882,0.9629651330569848
China Beijing Shijiazhuang Tianjian Han,A,82,28,0.9860000000000001,0.8945233265720081,0.9632971430665538
China Jiangsu Han,A,37,26,1.0005000000000002,0.9820089955022487,0.9633711945592639
China Beijing,A,17,15,1.026,1.0,0.9635222719895502
China Guangzhou,A,17,15,0.997,0.9799398194583753,0.9636865236990673
India Khandesh Region Pawra,A,33,17,0.61,0.8852459016393444,0.9637435040110107
Thailand,A,21,18,0.777,0.9678249678249679,0.9637914712907272
China Jiangsu Province Han,A,26,23,0.9999999999999999,0.9842000000000002,0.9640705630448728
Taiwan pop 2,A,19,16,0.991,0.9969727547931384,0.964121636664817
USA South Dakota Lakota Sioux,A,13,10,0.784,0.9107142857142856,0.964129784643668
China Southwest Dai,A,15,15,0.9990000000000001,1.0,0.9643045277779528
Germany DKMS - China minority,A,49,28,0.9975,0.9689223057644109,0.9643219826944947
China Hubei Han,A,47,25,0.9994,0.9842905743446068,0.9643383488006539
South Africa Natal Zulu,A,80,31,0.89,0.9157303370786517,0.9645966160593843
Israel Arab Druze,A,23,16,0.8850000000000001,0.7909604519774011,0.9646471677522418
China Han HIV negative,A,15,14,1.001,0.9690309690309691,0.9646645127504768
Sudan Mixed,A,36,23,0.979,0.8682328907048009,0.964691814744798
China Yunnan Hani,A,11,11,0.9980000000000001,1.0,0.9647983601976727
Peru Titikaka Lake Uro,A,6,4,0.801,0.9875156054931336,0.964884801679241
Peru Titikaka Lake Uros,A,7,5,0.806,0.9875930521091811,0.9649555017363354
Mexico Oaxaca Jamiltepec Mixtec,A,16,13,0.9970000000000001,0.880641925777332,0.96498393872868
Mexico Mixtec,A,16,13,0.9889999999999999,0.8806875631951468,0.9650083028243861
USA NMDP Chinese,A,133,34,1.0001120000000001,0.984872694258243,0.9651125868167887
China Guizhou Province Bouyei,A,22,9,0.866,0.9584295612009239,0.9651252750200269
China Yunnan Province Han,A,13,13,1.0010000000000001,1.0,0.9652823643095232
New Zealand Maori with Admixed History,A,16,14,1.0030000000000001,0.9810568295114654,0.9653053509431327
Georgia Tibilisi,A,21,18,0.8170000000000002,0.9816401468788248,0.9654290505779305
Taiwan Minnan pop 1,A,129,34,0.975,1.0000000000000002,0.9654942017185688
USA Arizona Gila River Amerindian,A,6,6,0.9969999999999999,1.0,0.9655384206365335
Taiwan Han Chinese,A,25,19,1.0,0.987,0.9655438938077193
Jordan Amman,A,16,14,0.7270000000000001,0.9009628610729025,0.9655841360600319
Oman,A,80,31,0.8620000000000001,0.970997679814385,0.9656953512029202
India New Delhi,A,14,12,0.788,0.9708121827411169,0.9657367238599275
Taiwan Tzu Chi Cord Blood Bank,A,21,18,0.9990000000000001,0.993993993993994,0.965769187931633
USA African American pop 3,A,30,18,0.7130000000000001,0.9523141654978962,0.9658649968056906
Greece pop 8,A,18,16,1.0,0.9880000000000001,0.9658787305092509
China Qinghai Province Hui,A,35,18,0.78,0.9320512820512822,0.9659612613446062
Hong Kong Chinese BMDR,A,34,27,1.000098,0.9844695219868455,0.9659648905171448
Hong Kong Chinese cord blood registry,A,32,25,1.0,0.985,0.9660099654670813
Mali Bandiagara,A,47,28,0.9950000000000002,0.9618090452261305,0.9660175501714825
Taiwan Hakka,A,129,34,0.99,0.9727272727272728,0.9660347907022456
Taiwan pop 3,A,16,13,0.996,0.993975903614458,0.96604214625972
Pakistan Brahui,A,78,31,0.9169999999999999,0.974918211559433,0.9660634338584959
China Guizhou Province Shui,A,22,9,0.852,0.9683098591549295,0.9660737150713156
Kenya Nandi,A,47,28,0.996,0.9206827309236948,0.9662637726088559
China Guizhou Province Miao pop 2,A,22,9,0.8670000000000001,0.9377162629757785,0.9662832256287579
Zimbabwe Harare Shona,A,30,20,0.9920000000000001,0.9596774193548386,0.9663719936532107
Brazil Mixed,A,31,23,0.8450000000000002,0.8994082840236686,0.966404359879688
Singapore SGVP Chinese CHS,A,30,25,0.997,0.9789368104312939,0.9664120809659379
USA NMDP Vietnamese,A,87,35,0.9998009999999999,0.9011853358818406,0.9664577868188722
Pakistan Karachi Parsi,A,75,30,0.9670000000000001,0.936918304033092,0.9664871321259596
USA South Texas Hispanic,A,206,30,0.942,0.9639065817409768,0.966533151156606
Malaysia Peninsular Chinese,A,26,18,1.0003,0.9740077976607019,0.9666627171081802
Brazil Belo Horizonte Caucasian,A,80,31,0.7729999999999999,0.9870633893919795,0.9666715096234992
Morocco Atlantic Coast Chaouya,A,21,17,0.5330000000000001,0.896810506566604,0.9667299658797218
China Canton Han,A,18,15,0.972,0.9825102880658438,0.9667700552861493
Israel Ethiopia Jews,A,75,25,1.000658,0.8308383083930774,0.9667809421226172
USA Hawaii Okinawa,A,10,8,0.896,0.8984375,0.9668428007134823
USA Asian,A,45,31,0.967,0.9720785935884179,0.9668464173437896
Argentina Gran Chaco Eastern Toba,A,5,3,0.751,0.8015978695073236,0.9668996773347878
South Korea pop 3,A,186,33,0.9470000000000001,0.9461457233368532,0.9669419891601807
Ghana Ga-Adangbe,A,23,18,1.0,0.9275000000000001,0.9669556224791467
USA Hispanic,A,45,31,0.9500000000000001,0.9642105263157895,0.9669808370549411
Czech Republic,A,81,32,0.855,0.9941520467836259,0.9670662638278852
Finland,A,13,11,0.9059999999999999,0.9812362030905077,0.9670872191869628
USA NMDP Korean,A,127,35,0.9998529999999998,0.9486024445593504,0.9671568249828684
Israel Libya Jews,A,64,26,1.000203,0.8697494408635047,0.9671646230674068
South Korea pop 10,A,44,20,0.9998999999999998,0.9441944194419444,0.967171395255308
Pakistan Mixed Pathan,A,78,32,0.917,0.9836423118865866,0.9671735994162645
Mexico Mexico City Mestizo pop 2,A,34,25,0.9996999999999999,0.9381814544363309,0.9672732832166655
USA Philadelphia Caucasian,A,279,35,0.904,0.9745575221238939,0.9672957449024531
USA North American Native,A,45,31,0.923,0.9739978331527628,0.9673678691807951
"Kenya, Nyanza Province, Luo tribe",A,29,19,1.0000000000000002,0.8849999999999998,0.9673939833214458
Vietnam Hanoi Kinh pop 2,A,20,16,0.9800000000000001,0.8938775510204082,0.967459930838828
Italy North pop 3,A,90,26,1.0,1.0,0.9674714759619446
Saudi Arabia Guraiat and Hail,A,32,21,0.907,0.9349503858875414,0.9675027896668453
Iran Kurd pop 2,A,20,15,0.9920000000000001,0.873991935483871,0.9675600525200903
Iran Saqqez-Baneh Kurds,A,20,15,0.9999000000000001,0.8749874987498749,0.9676281541057073
India Delhi pop 2,A,30,22,0.802,0.8728179551122194,0.9676741765666891
China Inner Mongolia Region,A,35,18,0.781,0.9295774647887325,0.9676759689249324
India North pop 2,A,17,13,0.705,0.9304964539007093,0.9677047956917445
American Samoa,A,12,8,0.9900000000000001,0.9494949494949494,0.9677543068320131
Ireland Northern,A,80,31,0.895,0.9955307262569832,0.967806846377345
Iran Gorgan,A,29,16,1.0010000000000001,0.6933066933066931,0.9678492252311279
India Andhra Pradesh Golla,A,18,13,0.6719999999999999,0.9553571428571431,0.9678509048558666
Cameroon Yaounde,A,27,21,0.9100000000000001,0.943956043956044,0.9678821181919061
Cuba Caucasian,A,80,31,0.836,0.9497607655502391,0.9678926549792239
Kosovo,A,22,19,1.0,0.988,0.9678993062411749
China Tibet Region Tibetan,A,303,30,0.601,0.9600665557404328,0.967932063406437
USA Asian pop 2,A,100,35,1.0005,0.9536231884057971,0.9680095323701197
Israel Druze,A,48,26,0.999859,0.8212007893112929,0.9680095374277404
Italy pop 5,A,48,31,1.0110000000000001,0.95351137487636,0.9680245979743816
Russia Tuva pop 2,A,29,18,0.8960000000000001,0.958705357142857,0.9680871963418877
United Arab Emirates  Abu Dhabi,A,28,22,0.9997999999999999,0.9423884776955392,0.9680950079076057
USA NMDP Mexican or Chicano,A,197,36,0.9996269999999999,0.9611935251848939,0.9680995348497663
Portugal Azores Terceira Island,A,28,21,0.9959999999999999,0.9646586345381527,0.9682205863538159
Japan pop 3,A,20,13,0.907,0.9415656008820288,0.968304191434492
USA San Diego,A,39,31,1.004,0.9800796812749004,0.9683121467840374
Azores Terceira Island,A,27,19,0.9440000000000001,0.9661016949152543,0.9683121782384635
Germany DKMS - Italy minority,A,42,28,0.9956,0.9683607874648451,0.9683549268645989
Greece pop 6,A,30,23,1.0003,0.9648105568329501,0.9683753689163711
Romania,A,82,33,0.935,0.9828877005347594,0.9683986675941568
Germany DKMS - Greece minority,A,46,30,0.9994999999999999,0.9718859429714857,0.9684163302762383
USA NMDP Alaska Native or Aleut,A,32,26,0.998,0.9899799599198398,0.9684212885378478
USA Hispanic pop 2,A,100,35,1.0009000000000001,0.9502447796982713,0.9684226382444654
France French Bone Marrow Donor Registry,A,23,21,0.9822000000000002,0.9897169619222154,0.9684281938826114
Taiwan Pazeh,A,129,34,0.99,1.0,0.968431496966022
France Southeast,A,23,21,0.965,0.9917098445595854,0.9684429262109551
Mexico Mexico City Mestizo population,A,30,23,0.9617,0.930851616928356,0.9684663588143664
Pakistan Baloch,A,80,33,1.0070000000000001,0.984111221449851,0.9684694736822254
USA San Antonio Caucasian,A,235,35,0.9725,0.959897172236504,0.9684868536371936
Ecuador Amerindians,A,32,23,0.9994000000000001,0.920852511506904,0.9684976849733539
USA Caucasian Bethesda,A,277,35,0.97,0.9690721649484538,0.9685186913848279
Germany DKMS - Bosnia and Herzegovina minority,A,32,26,0.9998999999999999,0.9876987698769879,0.9685228568270106
"Spain (Catalunya, Navarra, Extremadura, AaragÃ³n, Cantabria,",A,61,33,0.9995999999999999,0.982092837134854,0.9685317258191725
Portugal Center,A,25,23,0.9600000000000001,0.9895833333333335,0.968534496763734
USA Caucasian pop 3,A,29,22,0.956,0.9937238493723851,0.9685966370113428
Germany DKMS - Portugal minority,A,43,30,0.9981000000000001,0.9870754433423505,0.9686336953157402
USA NMDP North American Amerindian,A,100,34,1.0001199999999997,0.9866616006079275,0.9686372204931708
USA NMDP American Indian South or Central America,A,35,28,0.997,0.9839518555667001,0.9686584933707396
Azores Central Islands,A,24,18,1.0010000000000001,0.982017982017982,0.9686644015216617
Israel Ashkenazi and Non Ashkenazi Jews,A,38,22,0.8760000000000001,0.8401826484018263,0.9686647177309344
Nicaragua Managua,A,39,26,1.0002,0.8951209758048392,0.9686723617730316
Tanzania Maasai,A,38,20,0.9999999999999999,0.8551000000000002,0.9686726695619203
China Yunnan Bulang,A,9,9,0.999,1.0,0.9687034273007498
USA African American pop 2,A,29,22,0.923,0.9783315276273022,0.9687442710622433
USA Caucasian pop 2,A,45,31,0.9700000000000001,0.9938144329896907,0.9687649959141638
USA Caucasian pop 4,A,41,29,0.999,0.9849849849849851,0.9687782122493463
Georgia Svaneti Region Svan,A,22,16,0.9860000000000002,0.9279918864097361,0.9687981272238374
USA NMDP Hispanic South or Central American,A,203,36,0.9996929999999999,0.9539928758128747,0.9688459939993911
Cape Verde Northwestern Islands,A,21,17,0.562,1.0,0.9688499306449665
Japan pop 5,A,11,9,0.906,0.9713024282560706,0.9688530310467894
USA NMDP Caribean Hispanic,A,146,35,1.000003,0.9588771233686298,0.968861161940402
Israel USSR Jews,A,97,32,0.99986,0.8534844878282961,0.968869487351633
Germany DKMS - Turkey minority,A,64,34,0.9999999999999999,0.9595,0.9688741378258526
Germany DKMS - Netherlands minority,A,40,28,0.9989,0.9918910801882068,0.9689168449194544
USA NMDP Middle Eastern or North Coast of Africa,A,163,35,1.0001039999999999,0.9637557693999825,0.9689197438922568
Germany DKMS - France minority,A,42,28,0.9994999999999999,0.9860930465232617,0.9689248033099107
Croatia pop 4,A,43,27,1.0,0.9914,0.9689331219198859
Austria,A,26,21,1.097,0.9881494986326346,0.9689375059322924
Australia New South Wales Caucasian,A,26,20,0.9690000000000001,0.9917440660474716,0.9689468490564617
Germany DKMS - Croatia minority,A,40,27,0.9991000000000001,0.9895906315684114,0.9689544049578486
Netherlands Leiden,A,612,36,1.0,0.996,0.9689562294902779
Germany DKMS - German donors,A,835,35,0.9954290000000001,0.9893081274505764,0.9689650883845937
USA NMDP European Caucasian,A,317,36,0.999797,0.9917386229404568,0.9689793978601111
Germany pop 6,A,61,31,0.9996599999999999,0.9919372586679471,0.968986732093009
Germany DKMS - Romania minority,A,38,26,0.9991999999999998,0.9817854283426743,0.9689900855331812
Tunisia,A,34,27,0.99,0.9595959595959597,0.9690079162962663
Germany pop 8,A,140,33,0.99529,0.985109867475811,0.9690103984183546
South Africa Natal Tamil,A,13,12,0.6900000000000002,0.9710144927536232,0.9690419230603987
Japan pop 16,A,44,21,1.0001,0.9447055294470553,0.9690458201869996
South Africa Worcester,A,35,25,0.9960000000000001,0.8614457831325302,0.969054503498331
Croatia,A,174,33,0.9640000000000001,0.9699170124481327,0.9690607960103086
Germany DKMS - Austria minority,A,41,27,0.9995000000000002,0.9891945972986493,0.9690643444160167
England North West,A,24,19,0.967,0.9886246122026887,0.9690880377751412
Chile Santiago Mixed,A,26,20,0.6431000000000001,0.9298709376457782,0.9690920675869451
Germany DKMS - Spain minority,A,44,28,0.9974999999999998,0.98406015037594,0.9690996953089398
Russia Karelia,A,39,25,1.0006999999999997,0.9902068552013592,0.9691007353459378
Poland DKMS,A,66,32,0.9999799999999999,0.9900198003960081,0.9691090373740078
Senegal Niokholo Mandenka,A,24,19,0.996,0.9307228915662651,0.9691244594057056
USA African American pop 4,A,100,35,0.9996000000000002,0.9672869147659062,0.969125096983295
Sao Tome Island Forro,A,33,23,1.0,0.9290000000000002,0.9691376473494542
Kenya Luo,A,47,28,0.987,0.9047619047619047,0.9691388352610143
Israel Arab pop 2,A,64,29,0.999795,0.9367550347821305,0.9691672762735952
Belgium,A,18,18,0.918,1.0,0.9692120353738419
Germany DKMS - United Kingdom minority,A,41,27,0.9974,0.990575496290355,0.9692178539716383
USA NMDP Caribean Indian,A,45,32,0.9970000000000001,0.9598796389167501,0.969267895139987
USA NMDP African,A,111,33,0.9996200000000001,0.9597346991856905,0.9692935079676568
USA NMDP Japanese,A,42,30,0.9717799999999999,0.9739550103932988,0.9692970993857013
USA African American,A,45,31,0.997,0.9679037111334002,0.9693346476856859
Brazil  Puyanawa,A,17,15,0.9989999999999999,0.963963963963964,0.9693674872966924
USA NMDP African American pop 2,A,196,35,0.999811,0.9713425837483284,0.9693765628346159
Uganda Kampala,A,47,28,0.9740000000000001,0.9691991786447638,0.9694341034492243
Mexico Chiapas Lacandon Mayans,A,17,14,1.0,0.7799,0.9694399388926576
USA NMDP Caribean Black,A,56,34,0.99612,0.9719310926394409,0.9694607094584679
Mexico Chihuahua Chihuahua City Pop 2,A,18,16,0.9773,0.9476107643507624,0.9694684334057334
Taiwan Taroko,A,129,34,1.0,1.0,0.9694936867234278
Pakistan Mixed Sindhi,A,77,33,0.95,0.9600000000000001,0.969528906276755
Czech Republic NMDR,A,62,31,1.0002,0.9854029194161167,0.9695766191880435
Israel Ashkenazi Jews pop 3,A,94,28,0.999959,0.8079661266111909,0.9696055041080345
Papua New Guinea Madang,A,11,11,0.9500000000000001,1.0,0.9696382568553747
Japan Central,A,19,12,0.927,0.9374325782092771,0.9696422042637254
USA NMDP Hawaiian or other Pacific Islander,A,89,34,0.9997370000000001,0.982501397867639,0.9696616879081469
Mexico Mexico City Tlalpan,A,25,18,0.9846,0.9385537274019905,0.9696652281178281
USA San Francisco Caucasian,A,23,19,1.0,0.992,0.9696695074011968
Iran Baloch,A,33,17,0.51,0.7490196078431373,0.9696978978135427
Israel Poland Jews,A,91,29,0.999959,0.9422526323579267,0.969736313338675
Iran Tabriz Azeris,A,22,17,1.0004,0.8401639344262295,0.9697742051716512
Taiwan Siraya,A,129,34,0.982,1.0,0.9697881953550277
Philippines Ivatan,A,129,34,1.0,1.0,0.9698089063502282
Israel Georgia Jews,A,77,26,0.999658,0.7198461873960894,0.969816913136709
Israel Tunisia Jews,A,82,27,1.000696,0.9699249322471558,0.9698339780584415
Cameroon Beti,A,27,21,0.994,0.9527162977867205,0.9698606990399224
Singapore Javaneses,A,14,13,0.7800000000000001,0.9358974358974359,0.9698814506545923
Sweden Southern Sami,A,16,14,1.0,0.9850000000000001,0.9698924888446558
Cameroon Bamileke,A,28,21,0.8950000000000001,0.9363128491620111,0.9698964892198101
Uganda Kampala pop 2,A,33,20,1.003,0.9042871385842473,0.969904640441142
USA NMDP Southeast Asian,A,81,33,0.9999600000000001,0.9680087203488139,0.9699580570203066
Kenya,A,34,17,0.813,0.8523985239852399,0.9700838568110884
Singapore Riau Malay,A,22,16,0.8160000000000001,0.9166666666666666,0.9701427136396492
Sweden Northern Sami,A,12,12,1.0,1.0,0.9701764674098393
Israel USA Jews,A,91,30,1.000245,0.8477363046053717,0.9701949212552472
Israel Iraq Jews,A,87,29,1.0006059999999999,0.8158036230044593,0.9702186020800032
USA African American Bethesda,A,277,35,0.9810000000000001,0.9796126401630989,0.970220300921571
Netherlands UMCU,A,13,13,0.9998,1.0,0.9702361797475967
Mexico Veracruz Xalapa,A,18,15,0.9766000000000001,0.9693835756706941,0.9702949802732265
Tunisia Gabes,A,24,19,0.9986999999999999,0.921297686993091,0.9703085811231582
USA Alaska Yupik,A,113,32,0.88,0.9613636363636364,0.9703283840988667
Argentina Rosario Toba,A,14,9,0.6220000000000001,0.832797427652733,0.9703403186134599
Poland,A,22,21,0.9170000000000001,0.9912758996728461,0.970346470291852
Israel YemenJews,A,118,29,1.0001229999999999,0.6376515688570307,0.9703550292712619
Israel Argentina Jews,A,66,29,0.9999119999999999,0.832896294873949,0.9703714799888364
Ireland South,A,21,20,0.9780000000000001,0.9938650306748467,0.9704830390325514
Panama,A,53,29,0.9988999999999999,0.9367304034437882,0.9704834081979696
Colombia BogotÃ¡ Cord Blood,A,51,29,0.9994000000000001,0.9009405643386031,0.970511386290802
Malaysia Peninsular Indian,A,56,22,0.9986999999999999,0.9216982076699711,0.9705239908429818
Armenia combined Regions,A,23,19,1.0,0.9650000000000001,0.9706045149553945
Russia Bering  Island Aleuts,A,16,15,0.9998999999999999,0.9951995199519954,0.9707290459015804
Venezuela Sierra de Perija Yucpa,A,5,3,0.9430000000000001,0.9745493107104984,0.9708438370987015
Taiwan Puyuma,A,129,34,1.0,1.0,0.9710375619993794
Taiwan Atayal,A,129,34,0.9999999999999999,1.0000000000000002,0.9710849727306585
Singapore SGVP Malay MAS,A,30,25,1.001,0.9460539460539461,0.9711221295584388
Israel Kavkazi Jews,A,62,25,0.9996530000000001,0.7830717258888834,0.9712105434776714
USA NMDP South Asian Indian,A,144,33,0.999497,0.9659558758055301,0.9712306004921895
Pakistan Burusho,A,77,32,0.9770000000000001,0.9836233367451381,0.9713961814543328
Singapore SGVP. Indian INS,A,30,25,0.998,0.9819639278557114,0.9714148821409361
India Tamil Nadu,A,46,23,0.9997,0.9739921976592977,0.9714436452619897
Papua New Guinea West Schrader Ranges Haruai,A,11,11,0.984,1.0,0.9715710358527739
Taiwan Bunun,A,129,34,1.0,0.9999999999999999,0.9716992095097209
Israel Morocco Jews,A,94,28,0.999737,0.9529496257515724,0.9717001696418904
Cape Verde Southeastern Islands,A,21,17,0.7180000000000002,0.9442896935933147,0.9720166791890882
Australia Cape York Peninsula Aborigine,A,8,8,0.99,1.0,0.972173111946823
India Mumbai Maratha,A,38,19,0.7900000000000001,0.9531645569620253,0.9722142869518549
Israel Iran Jews,A,74,26,0.9997590000000001,0.9029446096509257,0.9722721511750381
Guinea Bissau,A,21,17,0.7020000000000001,0.977207977207977,0.9722984847299861
Taiwan Saisiat,A,129,34,1.001,1.0,0.9723348944502124
USA NMDP Filipino,A,101,34,1.0000900000000001,0.965282124608785,0.9724924425040314
Malaysia Peninsular Malay,A,66,24,1.0002,0.9279144171165766,0.9725985239264626
Indonesia Java Western,A,14,12,0.998,0.9719438877755511,0.9726612200517681
Sri Lanka Colombo,A,26,19,1.0010000000000001,0.97002997002997,0.9727357504447397
Taiwan Tao,A,128,33,1.0,1.0,0.9727671271313975
Papua New Guinea Wosera Abelam,A,11,11,0.988,1.0,0.9729956336959047
Australia Groote Eylandt Aborigine,A,8,6,0.994,1.0,0.9732548426578889
Ecuador Cayapa,A,9,5,1.4480000000000002,0.5276243093922651,0.9736967252537901
India West Bhil,A,33,17,0.6600000000000001,0.7121212121212118,0.9740439179227548
Chile Mapuche,A,17,13,1.0015,0.9147279081377931,0.9741086968341152
Colombia North Wiwa El Encanto,A,23,14,0.9997000000000001,0.8654596378913674,0.9741234831741996
Taiwan Rukai,A,129,34,1.0,1.0,0.9744365736916848
Papua New Guinea East New Britain Rabaul,A,11,11,0.9890000000000001,1.0,0.9747887567589713
Taiwan Tsou,A,128,33,0.9990000000000001,1.0,0.9751499799478721
Taiwan Paiwan,A,129,34,1.0,1.0,0.9751899447212017
Papua New Guinea Karimui Plateau Pawaia,A,11,11,0.9710000000000001,1.0,0.9753290948627534
Australia Yuendumu Aborigine,A,26,20,0.972,0.9681069958847738,0.9753616729999797
New Caledonia,A,11,11,0.9770000000000001,1.0,0.9754850133027038
Papua New Guinea Wanigela Keapara,A,10,10,0.796,1.0,0.9764448939675558
Taiwan Ami,A,129,34,1.0010000000000001,0.9999999999999998,0.9764954112932904
Papua New Guinea Eastern Highlands Goroka Asaro,A,11,11,1.0010000000000001,1.0,0.9768007997804026
Indonesia Sundanese and Javanese,B,20,8,0.5800000000000001,0.5275862068965517,0.9470916678307464
China Yunnan Bulang,B,22,14,1.0,0.6950000000000002,0.9614751601094161
China Guangdong Province Meizhou Han,B,35,10,0.77,0.577922077922078,0.9619334866359548
China Yunnan Province Wa,B,22,14,0.671,0.6929955290611027,0.9621607327945247
China Beijing pop 2,B,29,8,1.0003000000000002,0.7755673298010595,0.9623884566621337
Indonesia Java Western,B,26,16,0.9909999999999999,0.6821392532795156,0.9625140312650637
India West Coast Parsi,B,55,21,0.9500000000000002,0.35789473684210515,0.9629141798552463
Singapore SGVP Malay MAS,B,59,36,1.0050000000000001,0.690547263681592,0.9651468178065162
China Yunnan Hani,B,25,19,1.0,0.7600000000000001,0.965173671482764
China Yunnan Province Jinuo,B,22,14,0.91,0.8736263736263736,0.9652438823018686
China Guizhou Province Shui,B,30,16,0.88,0.9647727272727272,0.9656620561761111
China Yunnan Province Han,B,26,21,1.0050000000000001,0.890547263681592,0.9660777176185675
Singapore Javaneses,B,26,21,0.905,0.8651933701657458,0.9661884536132355
China Guizhou Province Bouyei,B,30,16,0.9059999999999999,0.9558498896247242,0.9662755134777279
USA NMDP Vietnamese,B,150,55,0.999695,0.7637229354953262,0.9665394310401044
China Yunnan Province Nu,B,18,11,0.652,0.7285276073619632,0.9666498186590954
Malaysia Peninsular Malay,B,93,46,1.0000999999999998,0.734026597340266,0.9667404812991538
Cameroon Bakola Pygmy,B,30,15,0.9250000000000002,0.6845405405405405,0.9668092231870228
Vietnam Hanoi Kinh pop 2,B,37,26,1.0030000000000001,0.7547357926221336,0.9668628761976911
China Yunnan Province Lisu,B,17,10,0.612,0.7058823529411764,0.9669839689374058
Singapore Thai,B,28,21,0.9219999999999999,0.8308026030368765,0.9671652072728317
Hong Kong Chinese,B,235,62,1.0030000000000001,0.904287138584247,0.9675421065786542
Taiwan pop 2,B,44,34,0.977,0.9703172978505631,0.967573948851187
China Southwest Dai,B,30,20,0.9980000000000002,0.8957915831663326,0.9676233690485414
China Guangzhou,B,36,32,0.98,0.9489795918367347,0.9676680263121031
Singapore Chinese Han,B,37,24,0.9330000000000002,0.860664523043944,0.9678815473686391
Hong Kong Chinese BMDR,B,91,49,0.999953,0.9288086540067383,0.9682501979882301
Singapore SGVP Chinese CHS,B,59,36,0.9990000000000001,0.9469469469469469,0.9683689214739762
Taiwan pop 3,B,31,23,1.0430000000000001,0.9616490891658677,0.9683936167944156
Hong Kong Chinese cord blood registry,B,80,48,0.9996,0.9259703881552622,0.9686139259818433
Thailand,B,42,31,0.96,0.8906250000000002,0.9687002230976476
Singapore Riau Malay,B,33,21,0.8980000000000001,0.7895322939866369,0.9688769657703017
Singapore Chinese,B,236,62,0.997,0.9448345035105317,0.9690512736242752
Taiwan Minnan pop 1,B,185,48,0.9440000000000001,0.9470338983050846,0.9690874454287304
China South Han,B,40,25,0.8610000000000001,0.9001161440185829,0.9691550280371856
China Guangxi Region Maonan,B,23,18,1.004,0.9711155378486057,0.9692731298172911
USA NMDP Chinese,B,227,60,1.000095,0.9312755288247616,0.9693204453476968
Malaysia Peninsular Chinese,B,62,34,1.0010000000000001,0.8448551448551449,0.9693964916083679
Taiwan Hakka,B,185,48,0.9590000000000001,0.9155370177267986,0.9696370709616782
China Guizhou Province Miao pop 2,B,30,16,0.9500000000000001,0.9621052631578946,0.9696384151888138
China Hubei Han,B,88,50,0.9997,0.9455836751025307,0.9697117207961822
China Canton Han,B,49,34,0.998,0.9178356713426853,0.9697221586389001
Taiwan Han Chinese,B,58,34,1.0010000000000001,0.9350649350649349,0.969795900818397
South Africa Natal Zulu,B,237,62,1.0,0.9400000000000001,0.9699629986434013
Taiwan Tzu Chi Cord Blood Bank,B,59,39,1.003,0.9521435692921238,0.9702935365784561
Germany DKMS - China minority,B,89,52,0.9998000000000001,0.9289857971594319,0.970713640689074
China Han HIV negative,B,19,17,0.9690000000000001,0.9029927760577915,0.9707395539971698
China Jiangsu Han,B,68,47,1.0026,0.9410532615200479,0.9709747379284361
China Beijing Shijiazhuang Tianjian Han,B,143,48,1.016,0.8671259842519685,0.9709774833163956
Kenya Luo,B,66,44,1.003,0.8923230309072783,0.9710159603479844
China Jiangsu Province Han,B,54,40,1.0081,0.9463346890189465,0.9716153870868282
Cape Verde Southeastern Islands,B,42,29,0.6859999999999999,0.9183673469387758,0.9716397302515641
Philippines Ivatan,B,182,46,1.0,0.8600000000000001,0.9717272335341833
South Africa Worcester,B,51,36,0.994,0.9064386317907444,0.9719755955279825
China Guangzhou Han,B,17,17,0.5720000000000001,1.0,0.9719794321550281
"Kenya, Nyanza Province, Luo tribe",B,33,22,1.0,0.905,0.9720012155476709
India Khandesh Region Pawra,B,55,21,0.9900000000000001,0.8686868686868687,0.9720118278515045
Colombia North Wiwa El Encanto,B,27,12,0.9995,0.38469234617308645,0.972085524904965
Ireland South,B,39,33,0.998,0.9739478957915831,0.9722433668330446
USA Eastern European,B,49,38,0.6050000000000001,0.9553719008264463,0.9722771871405492
Taiwan Pazeh,B,185,49,0.9790000000000001,0.8702757916241063,0.9723048553945653
USA NMDP Southeast Asian,B,174,56,1.00042,0.9108174566681992,0.9723092457491572
USA Asian,B,98,56,0.9970000000000001,0.921765295887663,0.972404128270667
Cameroon Yaounde,B,29,22,0.8570000000000001,0.9124854142357061,0.9724085149955809
