population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
Sudan Mixed,B,66,42,1.0689999999999997,0.8353601496725915,0.9766705922818887
USA NMDP Hawaiian or other Pacific Islander,B,160,59,0.9998030000000001,0.7782263105831848,0.9767887397417399
Iran Baloch,B,34,22,0.7340000000000001,0.829700272479564,0.9769479371480148
Kosovo,B,37,31,1.0002,0.9477104579084183,0.9771197675526114
Italy North pop 3,B,79,24,0.998,1.0000000000000002,0.9771198428096963
Israel Arab pop 2,B,93,49,0.9999159999999999,0.9265998343860885,0.9771285479182383
USA North American Native,B,98,56,0.996,0.9467871485943774,0.9771453716472642
Taiwan Rukai,B,179,44,1.0,0.9300000000000002,0.9771778725764061
Israel Morocco Jews,B,154,51,0.9998749999999998,0.9822917864733091,0.9772153289254204
Mexico Veracruz Xalapa,B,30,24,0.9948000000000001,0.9518496180136711,0.9773625769753612
Israel Kavkazi Jews,B,134,44,1.000473,0.8700044878772342,0.9775493803713551
Israel Arab Druze,B,33,23,0.8050000000000002,0.8447204968944099,0.9776463421195267
Israel Iraq Jews,B,137,46,1.0005030000000001,0.883982356874492,0.9776809693913704
Israel Libya Jews,B,163,41,0.999962,0.7826457405381404,0.9777268818369733
Australia Cape York Peninsula Aborigine,B,21,18,1.0000000000000002,0.82,0.9777891455976001
Greece pop 6,B,45,34,0.9981,0.9479010119226531,0.977860280216448
Iran Saqqez-Baneh Kurds,B,29,19,0.9997,0.8835650695208564,0.977924518786293
Argentina Rosario Toba,B,30,14,1.002,0.48802395209580846,0.9779355822629068
Finland,B,20,17,0.659,0.9559939301972685,0.977949673415815
Mexico Mexico City Mestizo pop 2,B,63,39,0.9975999999999999,0.7430834001603851,0.9780245671762722
Iran Kurd pop 2,B,28,18,0.9470000000000002,0.8827877507919746,0.9780303256792656
Israel Druze,B,107,40,1.0001599999999997,0.9786314189729646,0.9780447282505593
Australia Groote Eylandt Aborigine,B,16,13,1.002,0.8333333333333334,0.9782447281197758
Brazil  Puyanawa,B,41,29,0.9980000000000001,0.9118236472945893,0.9783388242480183
Israel Iran Jews,B,147,46,0.999607,0.937755537926405,0.9787598919598951
USA South Dakota Lakota Sioux,B,22,20,1.001,0.9930069930069931,0.978836242818571
USA Spain Ancestry,B,44,17,1.115,0.45201793721973094,0.978877832418934
USA South Texas Hispanic,B,409,57,0.9810000000000001,0.8552497451580019,0.9789903923041413
Argentina Gran Chaco Eastern Toba,B,22,8,0.9520000000000002,0.3802521008403361,0.9789995153578831
Mexico Oaxaca Mixe,B,13,8,1.0,0.30799999999999994,0.9790445210396013
Taiwan Saisiat,B,181,45,0.9810000000000001,0.9898063200815495,0.9790627035022808
Australia Yuendumu Aborigine,B,59,40,1.001,0.6303696303696305,0.9792484354645155
Taiwan Bunun,B,179,44,1.0010000000000001,0.936063936063936,0.9796475184369295
Mexico Oaxaca Zapotec,B,30,20,0.965,0.7077720207253887,0.9796789320757109
Israel Georgia Jews,B,120,42,0.999456,0.9451201453590755,0.9796963944900783
Mexico Oaxaca Mixtec,B,30,20,0.992,0.6633064516129031,0.9798501528760742
American Samoa,B,24,11,0.99,0.6565656565656565,0.9798543149466551
Peru Titikaka Lake Uros,B,28,13,1.005,0.34825870646766177,0.9801992455816081
Peru Titikaka Lake Uro,B,28,13,1.0,0.34700000000000003,0.9802126992028654
Taiwan Tsou,B,180,45,0.999,0.950950950950951,0.9802788244743843
Papua New Guinea Wosera Abelam,B,26,16,1.065,0.8769953051643193,0.9803856228170271
Brazil Terena,B,24,9,0.994,0.113682092555332,0.9804461136875211
New Caledonia,B,26,16,1.001,0.6343656343656344,0.9805516274530225
Taiwan Atayal,B,180,45,1.0,0.9720000000000001,0.9807725246180212
Taiwan Taroko,B,180,45,1.0,1.0,0.9810986240754294
USA Hawaii Okinawa,B,17,16,0.761,0.9172141918528253,0.9811019042508857
Papua New Guinea Eastern Highlands Goroka Asaro,B,26,16,1.0,0.6,0.9813937602431655
Papua New Guinea Wanigela Keapara,B,26,16,1.0050000000000001,0.72636815920398,0.9814796672456795
Papua New Guinea Karimui Plateau Pawaia,B,26,16,1.0010000000000001,0.8371628371628371,0.9818337006932556
USA Alaska Yupik,B,236,60,0.9080000000000001,0.9691629955947136,0.9820052447384333
Taiwan Ami,B,180,45,1.0,0.974,0.9821650729169988
Mexico Chiapas Lacandon Mayans,B,27,17,1.0004,0.7751899240303879,0.9822576715082744
Papua New Guinea East New Britain Rabaul,B,26,16,0.9750000000000001,0.6348717948717948,0.9828179089239746
Mexico Oaxaca Jamiltepec Mixtec,B,26,16,0.998,0.5681362725450902,0.9828290331902791
Mexico Mixtec,B,26,16,1.002,0.56686626746507,0.9828434713284324
New Zealand Maori with Admixed History,B,33,29,1.007,0.8857994041708045,0.9828570959208534
USA Arizona Gila River Amerindian,B,17,13,0.998,0.716432865731463,0.9841065985650923
Papua New Guinea West Schrader Ranges Haruai,B,26,16,1.0010000000000001,0.5084915084915085,0.984204023645725
Papua New Guinea Madang,B,26,16,1.001,0.7092907092907094,0.984249490463468
USA Arizona Pima,B,16,13,0.829,0.8094089264173704,0.9843539420212302
Venezuela Perja Mountain Bari,B,6,3,0.8290000000000001,0.781664656212304,0.9856601014318607
Venezuela Sierra de Perija Yucpa,B,4,1,0.849,0.425206124852768,0.9869880023785372
Israel Arab Druze,C,20,17,0.9100000000000001,0.9835164835164835,0.9375412123744301
Tanzania Maasai,C,78,22,1.0009,0.7358377460285744,0.938655172677994
China Han HIV negative,C,15,11,1.0000000000000002,0.8759999999999999,0.9391095356882663
Cameroon Bakola Pygmy,C,11,7,0.8253,0.7051981097782625,0.9394108087436024
Kenya Nandi,C,29,22,1.002,0.9491017964071857,0.9403715671344481
Tunisia,C,19,18,0.914,0.9945295404814004,0.9405492082475551
USA Alaska Yupik,C,60,22,0.5630000000000001,0.7175843694493783,0.9407673922548477
Kenya,C,20,12,0.7909999999999999,0.8685208596713022,0.940902723673419
Saudi Arabia Guraiat and Hail,C,34,21,0.958,0.9478079331941547,0.9410299839986618
Spain Andalusia Romani,C,13,13,0.9540000000000001,1.0,0.9413723479288852
Israel Ashkenazi and Non Ashkenazi Jews,C,34,19,0.8930000000000001,0.7917133258678611,0.9416334938540607
Burkina Faso Mossi,C,12,12,0.574,1.0,0.9419107378007653
Pakistan Karachi Parsi,C,13,12,0.658,1.0,0.9422704586500895
India West Coast Parsi,C,28,11,0.8,0.6875,0.9424608829649218
Sudan Mixed,C,26,19,0.786,0.9503816793893131,0.9427291394075794
South Africa Worcester,C,25,21,0.9980000000000001,0.8587174348697395,0.9427419697269385
Kenya Luo,C,29,22,1.002,0.9271457085828343,0.9431271962092688
Pakistan Mixed Pathan,C,14,13,0.5700000000000001,1.0,0.9432802420705274
USA NMDP Vietnamese,C,47,24,1.0000989999999998,0.9951194831711663,0.9432999569740331
Uganda Kampala pop 2,C,22,15,0.999,0.795795795795796,0.944040522727174
India Delhi pop 2,C,24,21,0.986,0.9442190669371198,0.9441067224421238
Pakistan Mixed Sindhi,C,13,12,0.681,1.0,0.9441486073385325
Iran Tehran,C,56,17,0.729,0.9657064471879288,0.944171573715103
Greece pop 6,C,28,21,0.996,0.9708835341365462,0.944272201032103
"Kenya, Nyanza Province, Luo tribe",C,26,15,1.0,0.8200000000000001,0.94435556834486
South Africa Caucasians,C,35,19,0.8130000000000001,0.9015990159901598,0.9445807042419168
Iran Gorgan,C,16,13,0.9999,0.9453945394539454,0.9451900964046904
USA African American,C,31,23,1.0,0.952,0.945198005359963
Morocco Nador Metalsa pop 2,C,90,20,0.692,0.8627167630057805,0.9452292800555812
South Africa Natal Tamil,C,19,17,0.968,0.9462809917355373,0.9455021831500275
Russia North Ossetian,C,21,19,0.9999,0.9921992199219921,0.9455768815487622
India Mumbai Maratha,C,28,11,0.764,0.9123036649214659,0.945985068167121
Kosovo,C,21,18,1.0001,0.9758024197580242,0.9460072274992974
Zimbabwe Harare Shona,C,21,17,0.977,0.902763561924258,0.9460423368381495
Spain Catalonia Girona,C,12,11,0.546,0.9798534798534798,0.946304958263817
USA NMDP South Asian Indian,C,79,24,0.999967,0.9913097132205362,0.9463092969043528
USA NMDP African,C,63,23,1.0001,0.9531046895310468,0.9463126908759413
USA African American pop 4,C,90,24,0.9998,0.948389677935587,0.9464622525123526
USA NMDP Middle Eastern or North Coast of Africa,C,93,23,1.00003,0.9840704778856634,0.9465889461016259
Singapore SGVP. Indian INS,C,25,21,0.9999999999999999,0.988,0.9466091983324405
Thailand Northeast pop 2,C,11,10,0.561,0.9928698752228164,0.946643148989059
Poland DKMS,C,53,24,1.00014,0.9950306957026016,0.9466650017097846
Cameroon Bamileke,C,22,16,0.9970000000000001,0.9287863590772315,0.9468336827128111
Greece pop 8,C,22,18,0.9939000000000001,0.9758527014790219,0.9468393271477807
Spain Andalusia,C,21,20,1.0,0.9940000000000001,0.9468420212244337
Italy Sardinia pop3,C,11,11,0.5389999999999999,1.0,0.9468480985374474
Germany DKMS - Bosnia and Herzegovina minority,C,26,21,0.9992,0.9891913530824659,0.9468837561138846
Germany DKMS - Greece minority,C,32,23,0.9988,0.9794753704445335,0.9469157741350063
Vietnam Hanoi Kinh pop 2,C,18,16,1.001,0.9910089910089911,0.9470371390341318
Germany DKMS - Italy minority,C,40,23,0.9951,0.9814089036277761,0.9470525189129715
Germany DKMS - Croatia minority,C,34,22,0.9991,0.9876889200280252,0.9470665249042675
India Tamil Nadu,C,40,22,0.9999,0.9840984098409841,0.9470925217127036
Jordan Amman,C,19,16,0.786,0.6984732824427481,0.9471804524328222
USA NMDP African American pop 2,C,129,24,1.0000550000000001,0.9567503787291698,0.9472172494712103
Germany DKMS - Romania minority,C,28,21,0.9984999999999998,0.9912869303955936,0.9472449768756392
USA NMDP Caribean Black,C,34,24,0.9976899999999999,0.9532720584550313,0.9473006814317196
Germany DKMS - Turkey minority,C,45,23,0.9988999999999999,0.9611572730003003,0.9473007708367842
Cameroon Beti,C,21,16,0.9980000000000001,0.9168336673346693,0.9473906899172791
